task_id,difficulty,seed,condition,score,passed,simulator_score,human_score,predicted_failure,annotator_a_failure,annotator_b_failure
task_01,24.003,0,no_tutor,71.236,1,67.23,74.319,0,0,0
task_01,24.003,0,socratic,82.698,1,98.842,85.188,0,0,0
task_01,24.003,0,worked_example,83.355,1,63.14,75.794,0,0,0
task_01,24.003,0,hint_ladder,80.613,1,73.766,76.432,0,0,0
task_01,24.003,0,reflective,73.939,1,78.466,83.907,0,0,0
task_01,24.003,1,no_tutor,81.084,1,69.143,79.607,0,0,0
task_01,24.003,1,socratic,82.125,1,82.935,80.679,0,0,0
task_01,24.003,1,worked_example,83.14,1,79.604,89.775,0,0,0
task_01,24.003,1,hint_ladder,75.426,1,77.444,76.072,0,0,0
task_01,24.003,1,reflective,74.53,1,76.315,73.636,0,0,0
task_01,24.003,2,no_tutor,63.412,1,66.909,62.93,0,0,0
task_01,24.003,2,socratic,78.138,1,84.676,78.73,0,0,0
task_01,24.003,2,worked_example,71.075,1,68.433,70.697,0,0,0
task_01,24.003,2,hint_ladder,76.447,1,89.486,83.416,0,1,0
task_01,24.003,2,reflective,55.837,0,55.611,53.554,1,1,1
task_01,24.003,3,no_tutor,77.371,1,76.008,83.657,0,0,0
task_01,24.003,3,socratic,83.861,1,67.808,82.452,0,1,0
task_01,24.003,3,worked_example,66.851,1,69.783,66.311,0,0,0
task_01,24.003,3,hint_ladder,72.276,1,53.564,71.929,1,0,0
task_01,24.003,3,reflective,60.288,1,61.108,60.96,0,1,0
task_01,24.003,4,no_tutor,68.576,1,66.235,68.302,0,0,0
task_01,24.003,4,socratic,91.597,1,86.314,94.63,0,0,0
task_01,24.003,4,worked_example,75.861,1,74.239,79.831,0,0,0
task_01,24.003,4,hint_ladder,78.284,1,92.216,76.469,0,0,0
task_01,24.003,4,reflective,74.419,1,64.635,70.915,0,0,0
task_01,24.003,5,no_tutor,67.26,1,72.211,61.997,0,0,0
task_01,24.003,5,socratic,77.309,1,88.802,77.067,0,0,0
task_01,24.003,5,worked_example,70.957,1,75.871,69.615,0,0,0
task_01,24.003,5,hint_ladder,66.696,1,85.027,72.733,0,0,0
task_01,24.003,5,reflective,70.519,1,75.33,70.55,0,0,1
task_01,24.003,6,no_tutor,71.293,1,67.404,71.659,0,0,0
task_01,24.003,6,socratic,82.209,1,70.383,85.375,0,0,0
task_01,24.003,6,worked_example,83.378,1,78.466,80.038,0,0,0
task_01,24.003,6,hint_ladder,76.91,1,75.931,67.511,0,1,0
task_01,24.003,6,reflective,74.261,1,65.76,72.41,0,0,0
task_01,24.003,7,no_tutor,56.755,0,52.577,58.615,1,1,1
task_01,24.003,7,socratic,72.252,1,71.356,66.383,0,1,0
task_01,24.003,7,worked_example,69.674,1,80.352,70.375,0,0,0
task_01,24.003,7,hint_ladder,71.314,1,66.565,74.636,0,0,1
task_01,24.003,7,reflective,71.036,1,82.177,74.329,0,0,0
task_02,69.941,0,no_tutor,31.519,0,32.977,28.917,1,1,1
task_02,69.941,0,socratic,33.999,0,45.106,29.296,1,1,1
task_02,69.941,0,worked_example,40.019,0,41.108,44.103,1,1,1
